Highway,Side,Between,Prohibited Times and/or Days
Mortimer Avenue,North,Broadview Avenue and Pape Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri."
Gledhill Avenue,West,Danforth Avenue and a point 79 metres north,Anytime
Kingston Road,North,Malvern Avenue and a point 28.5 metres east,Anytime
Jopling Avenue North,East,Mattice Avenue and a point 86.2 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Mortimer Avenue,South,Binswood Avenue and Knight Street,Anytime
Mortimer Avenue,South,Woodbine Avenue and Woodmount Avenue,Anytime
Christie Street,East,A point 94.5 metres north of Bloor Street West and Barton Avenue,Anytime
Lansdowne Avenue,East,Bloor Street West and a point 15 metres north of Wade Avenue,Anytime
Lansdowne Avenue,East,Paton Road and a point 36.6 metres north,Anytime
Sheppard Street,West,Richmond Street West and a point 30 metres south,"3:30 p.m. to 9:30 a.m., Mon. to Fri.; Anytime Sat., Sun and public holidays"
Victoria Street (TO),East,A point 29 metres north of Colborne Street and King Street East,Anytime
Walker Road,Both,Franklin Avenue and Cameron Avenue,Anytime
Botham Road,East,Stuart Crescent (north intersection) and a point 86 metres south,"8:00 a.m. to 4:00 p.m., Mon. to Fri."
Dolly Varden Boulevard,North and west,Daventry Road and Bluefin Crescent (north intersection),2:00 a.m. to 6:00 a.m.
Bluefin Crescent,Both,Dolly Varden Boulevard (southwest intersection) and Dolly Varden Boulevard (northeast intersection),2:00 a.m. to 6:00 a.m.
Victoria Street (TO),East,A point 53 metres south of Adelaide Street East and a point 29 metres further south,Anytime
Victoria Street (TO),West,A point 85 metres north of Adelaide Street East and Queen Street East,Anytime
Botham Road,West,Stuart Avenue and a point 78 metres south,"9:00 a.m. to 3:00 p.m., Mon. to Fri."
Stuart Crescent,Both,Botham Road (north intersection) and a point 23 metres east of Botham Road (south intersection),"8:00 a.m. to 4:00 p.m., Mon. to Fri."
Gough Avenue,West,Harcourt Avenue and a point 29.5 metres south of Danforth Avenue,Anytime
Victoria Street (TO),West,Adelaide Street East and a point 42 metres north,Anytime
Victoria Street (TO),West,Colborne Street and King Street East,Anytime
Bowmore Road,West,A point 130 metres south of Gerrard Street East and a point 19 metres further south,"9:30 a.m. to 11:30 a.m., 1:30 p.m. to 3:00 p.m., Mon. to Fri."
Edwin Avenue,West,Edith Avenue and a point 69 metres north,"8:30 a.m. to 5:30 p.m., Mon. to Fri."
Scott Street,East,A point 36 metres north of The Esplanade and Scott Lane,Anytime
Frederick Street,East,A point 60.5 metres north of Front Street East and King Street East,Anytime
Edwin Avenue,West,A point 69 metres north of Edith Avenue and the north end of Edwin Avenue,"9:00 a.m. to 3:30 p.m. and 3:45 p.m. to 5:30 p.m., Mon. to Fri."
Spruce Street,North,A point 17 metres east of Dyer Lane and River Street,Anytime
Wolseley Street,North,Ryerson Avenue and Denison Avenue,"16th day to the last day of each month, from Apr. 1 to Nov. 30, inclusive"
Wolseley Street,South,Ryerson Avenue and a point 30.5 metres west of Denison Avenue,"First day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive"
Windsor Street (TO),East,A point 50 metres north of Front Street West and a point 38 metres south of Wellington Street West,Anytime
Windsor Street (TO),West,Front Street West and Wellington Street West,Anytime
Simpson Avenue,South,A point 19 metres west of Carlaw Avenue and a point 11 metres further west,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Simpson Avenue,South,A point 66 metres west of Carlaw Avenue and a point 11 metres further west,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Benbow Road,East,A point 72 metres south of Saskatoon Drive and a point 80 metres further south,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Wolseley Street,South,Ryerson Avenue and Denison Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
York Street,East,A point 38 metres north of King Street West and a point 28 metres north,"6:30 p.m. to 7:30 a.m. Mon. to Fri.; Anytime Sat., Sun. and public holidays"
York Street,East,King Street West and a point 38 metres north,Anytime
Charles Street West,South,Queens Park and a point 52 metres west of St. Thomas Street,Anytime
Benbow Road,West,Sturton Road and Saskatoon Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Saskatoon Drive,North,Benbow Road (west intersection) and a point 100 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Barrington Avenue,West,A point 31 metres north of Danforth Avenue and a point 22 metres further north,Anytime
Simpson Avenue,South,Carlaw Avenue and a point 19 metres west,Anytime
Queen's Drive (NY),North,A point 61 metres east of Venice Drive and a point 161 metres further east,"9:00 a.m. to 2:00 p.m. and 3:30 p.m. of one day to 8:00 a.m. of the next following day, Mon. to Fri.; anytime Sat. and Sun."
Beaumonde Heights Drive,North and east,Islington Avenue and Monterrey Drive,Anytime
Wychwood Avenue,East,Ellsworth Avenue and Alcina Avenue,"Each Thurs. Apr. 1 to Nov. 30, inclusive"
Wychwood Avenue,East,St. Clair Avenue West and a point 15 metres south,Anytime
Donlands Avenue,West,Danforth Avenue and a point 35 metres south of Strathmore Boulevard,Anytime
Dwight Avenue,West,A point 70 metres north of Maple Boulevard and New Toronto Street,Anytime
Ridgevalley Crescent,North,A point 165 metres east of Ridgecross Road (south intersection) and a point 30 metres further east and north,Anytime
Stephanie Street,North,John Street and a point 48.5 metres west of McCaul Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat."
Stephanie Street,South,John Street and St. Patrick Square,Anytime
Winona Drive,East,A point 45 metres south of Benson Avenue and a point 67 metres further south,"5:00 p.m. of one day to 8:00 a.m. of the next following day, Mon. to Fri.; 5:00 p.m. Fri. to 8:00 a.m. of the following Mon."
Winona Drive,East,Davenport Road and a point 112 metres south of Benson Avenue,Anytime
Castle View Avenue,South,Walmer Road and Spadina Road,Anytime
Russell Hill Drive,North,Walmer Road and Spadina Road,Anytime
Victory Drive,North,Ianhall Road and Agate Road,Anytime
Colborne Street,North,Victoria Street and a point 39 metres east,Anytime
Winona Drive,West,A point 72.5 metres south of Benson Avenue and a point 22.5 metres further south,Anytime
Winona Drive,West,A point 95 metres south of Benson Avenue and a point 31.5 metres further south,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Simpson Avenue,South,A point 30 metres west of Carlaw Avenue and a point 36 metres further west,Anytime
Simpson Avenue,South,A point 77 metres west of Carlaw Avenue and a point 36 metres further west,Anytime
Victory Drive,South,Julian Road and Agate Road,6:00 a.m. to 6:00 p.m. Mon. to Fri.
Killdeer Crescent,"North, West, and South",Brentcliffe Road (south intersection) and a point 90 metres east of Brentcliffe Road (north intersection),Anytime
Court Street,North,A point 32 metres east of Toronto Street and Church Street,Anytime
Court Street,South,Toronto Street and a point 32 metres west of Church Street,Anytime
Winona Drive,West,Benson Avenue and a point 72.5 metres south,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Railway Lane,East,Ray Avenue and Victoria Boulevard,Anytime
Sheppard Street,East,Adelaide Street West and Richmond Street West,"9:30 a.m. to 3:30 p.m., Mon. to Fri."
Compton Crescent,East and north,A point 91 metres south of Calvington Drive (west intersection) and a point 23 metres further south and east,Anytime
Compton Crescent,West and north,A point 77 metres south of Calvington Drive (east intersection) and a point 20 metres further south and west,Anytime
Duncan Street,West,A point 32 metres north of Richmond Street West and a point 34.5 metres south of Queen Street West,Anytime
Victoria Boulevard,North,Weston Road and Railway Lane,Anytime
Jillson Avenue,North,Willard Avenue and Windermere Avenue,Anytime
Simpson Avenue,South,A point 113 metres west of Carlaw Avenue and a point 11 metres further west,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Simpson Avenue,South,A point 160 metres west of Carlaw Avenue and a point 11 metres further west,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Victory Drive,North,Wintergreen Road and Ianhall Road,Anytime
Tumpane Street,West,Heathrow Drive and a point 76 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Duncan Street,West,Pearl Street and Adelaide Street West,Anytime
Riverview Heights,Both,Dixon Road and a point 50 metres north,Anytime
Simpson Avenue,South,A point 124 metres west of Carlaw Avenue and a point 36 metres further west,Anytime
Simpson Avenue,South,A point 171 metres west of Carlaw Avenue and Logan Avenue,Anytime
Cartwright Avenue,North,A point 69 metres east of Caledonia Road and Paul David Street,Anytime
Melrose Avenue (NY),South,Avenue Road and a point 37 metres west,Anytime
Emily Street,East,A point 31 metres north of Wellington Street West and a point 47.5 metres south of King Street West,Anytime
Oxley Street,North,A point 30.5 metres east of Spadina Avenue and a point 31 metres west of Charlotte Street,Anytime
George Henry Boulevard,North,Silkwood Crescent and Don Mills Road,6:00 a.m. to 10:00 a.m.
Parfield Drive,Both,Meadowglade Crescent and George Henry Boulevard,6:00 a.m. to 10:00 a.m.
Sheppard Street,West,Adelaide Street West and Richmond Street West,Anytime
Oxley Street,South,Spadina Avenue and Charlotte Street,Anytime
Ringwood Crescent,Both,George Henry Boulevard (west intersection) and George Henry Boulevard (east intersection),6:00 a.m. to 10:00 a.m.
Timberlane Drive,Both,The east end of Timberlane Drive and a point 37 metres west,9:00 a.m. to 6:00 p.m. Tues.
Peaceful Way,East,Shuter Street and Sutton Avenue,Anytime
Malcom Road,Northeast,Randolph Road and a point 55.4 metres west of Millwood Road,"8:00 a.m. to 6:00 p.m., Mon. to Sat."
Dolly Varden Boulevard,South and east,Daventry Road and Brimorton Drive,2:00 a.m. to 6:00 a.m.
Pearl Street,North,John Street and Simcoe Street,Anytime
Pearl Street,South,A point 30 metres east of John Street and a point 25 metres west of Ed Mirvish Way,Anytime
Riverview Drive,Both,The east end of Riverview Drive and a point 35 metres west,Anytime
Franklin Avenue (NY),Both,Walker Road and a point 50 metres east,Anytime
Vanderhoof Avenue,South,Brentcliffe Road and Thomas Elgie Drive,Anytime
St. Dennis Drive,Both,Linkwood Lane and Wynford Drive,Anytime
Glenayr Road,West,A point 139.5 metres south of Strathearn Boulevard and a point 6 metres further south,Anytime
Eugene Street,East,Joyce Parkway (north intersection) and Marcia Avenue,8:00 a.m. to 6:00 p.m. Mon. to Fri.
Eugene Street,East,The south end of Eugene Street and Playfair Avenue,Anytime
Vanderhoof Avenue,South,A point 144 metres east of Brian Peck Crescent and Research Road,Anytime
Duncan Street,West,Pearl Street and a point 31 metres south of Adelaide Street West,Anytime
Kenton Drive,South,Bathurst Street and Charlton Boulevard,Anytime
Old Yonge Street,Both,A point 30 metres north of York Mills Road and Upper Canada Drive,"9:00 a.m. to 3:00 p.m., Mon. to Fri."
Fort Rouille Street,West,The south end of Fort Rouille Street and a point 47.5 metres south of Springhurst Avenue,Anytime
Mount Pleasant Road (east branch),East,Balliol Street and Davisville Avenue,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Robina Avenue,East,A point 17.5 metres north of Jesmond Avenue and a point 11 metres further north,Anytime
Strathmore Boulevard,North,Coxwell Avenue and a point 26 metres west of Woodbine Avenue,Anytime
Daisy Avenue,North,Twenty Ninth Street and a point 40 metres east,Anytime
Cluny Drive,East,Roxborough Street East and Chestnut Park,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Cluny Drive,East,A point 19.3 metres north of Chestnut Park and Rowanwood Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
James Street,East,A point 59 metres north of Queen Street West and a point 12 metres further north,Anytime
Briarwood Avenue,Both,Halesia Drive and a point 15 metres east of Windwood Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Parkview Gardens,West,Bloor Street West and a point 45.7 metres north,Anytime
Frontenac Avenue,North,Bathurst Street and a point 10 metres east,Anytime
Frontenac Avenue,South,Bathurst Street and a point 77 metres east,Anytime
Cluny Drive,East,Chestnut Park and a point 19.3 metres north,Anytime
Sidney Belsey Crescent,North,A point 42 metres west of Weston Road and a point 22.5 metres further west,Anytime
Bunnell Crescent,East,Hallsport Crescent and Nash Drive,Anytime
Tanager Avenue,Both,Broadway Avenue and Glenvale Boulevard,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Betty Ann Drive,Both,Senlac Road and Blenheim Street/Diagonal Road,"8:30 a.m. to 4:30 p.m., Mon. to Fri."
Victoria Street (TO),East,Colborne Street and King Street East,Anytime
Margueretta Street,East,A point 138.7 metres north of College Street and a point 79.2 metres further north,"10:00 a.m. to 11:30 a.m. and 1:30 p.m. to 3:15 p.m., Mon. to Fri."
Lissom Crescent,South,Laconia Drive and a point 122 metres west,8:00 a.m. to 5:00 p.m.
Cartwright Avenue,North,Jane Osler Boulevard (south intersection) and a point 91.5 metres west of Dufferin Street,8:00 a.m. to 6:00 p.m.
Borough Drive,West,A point 181 metres east of Town Centre Court (southwest intersection) and Town Centre Court (northeast intersection),Anytime
Brookmill Boulevard,Both,Birchmount Road and a point 85 metres west,Anytime
Avenue Road,Both,Lawrence Avenue West and Burnaby Boulevard,Anytime
Edwin Avenue,West,Ruskin Avenue and Dupont Street,Anytime
Cartwright Avenue,South,A point opposite the easterly limit of Jane Osler Boulevard and Dufferin Street,8:00 a.m. to 6:00 p.m.
Brookmill Boulevard,Both,Tambrook Drive and a point 85 metres west of Birchmount Road,7:00 a.m. to 7:00 p.m.
Darnborough Way,Both,Brookmill Boulevard and a point 109 metres north/west,Anytime
Lawlor Avenue,West,A point 9 metres north of Kingston Road and a point 27.6 metres further north,9:30 a.m. to 2:00 p.m. and 4:00 p.m. of one day to 7:30 a.m. of the next following day; Anytime Sat. and Sun.
Lawlor Avenue,East,A point 15 metres north of Kingston Road and a point 11 metres further north,9:30 a.m. to 2:00 p.m. and 4:00 p.m. of one day to 7:30 a.m. of the next following day; Anytime Sat. and Sun.
Perth Avenue,West,A point 15 metres north of Bloor Street West and a point 80 metres north of Hugo Avenue,Anytime
Ianhall Road,North and east,Victory Drive and a point 76 metres north,"9:00 a.m. to 3:00 p.m., and 4:00 p.m. to 6:00 p.m. Mon. to Fri."
Cadbury Court,North,Chancery Lane and the west end of Cadbury Court,Anytime
Lawlor Avenue,East,A point 26 metres north of Kingston Road and Gerrard Street East,Anytime
Alpine Avenue,North,Edwin Avenue and the west end of Alpine Avenue,Anytime
Pauline Avenue,West,Bloor Street West and a point 160 metres south of Wallace Avenue,Anytime
Pauline Avenue,West,Wallace Avenue and a point 160 metres south,6:00 p.m. of one day to 8:00 a.m. of the next following day Mon. to Fri. and anytime Sat. and Sun.
Cadbury Court,South,Chancery Lane and a point 114 metres west,"7:00 a.m. to 6:00 p.m., Mon. to Fri."
Cadbury Court,South,A point 114 metres west of Chancery Lane and the west end of Cadbury Court,Anytime
Sheppard Avenue West,North,A point 75 metres west of Goddard Street and a point 15 metres further west,Anytime
Sheppard Avenue West,North,A point 75 metres west of Goddard Street and Yeomans Road,"7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Augusta Avenue,East,Dundas Street West and a point 20.5 metres north of Wales Avenue,Anytime
Augusta Avenue,East,College Street and Denison Square,Anytime
Perth Avenue,East,A point 16 metres north of Ruskin Avenue and a point 11.3 metres south of Antler Street,"9:15 a.m. to 11:30 a.m., 12:30 p.m. to 3:00 p.m. and 3:30 p.m. to 4:30 p.m., Mon. to Fri."
Sheppard Avenue West,North,Wilson Heights Boulevard and a point 90 metres west of Goddard Street,"7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Augusta Avenue,West,A point 29.4 metres north of Nassau Street and a point 25 metres further north,Anytime
Avonlea Boulevard,West,A point 30 metres south of Dentonia Park Avenue (south intersection) and a point 8 metres further south,Anytime
Portland Street (TO),West,Front Street West and Wellington Street,Anytime
Concord Avenue,East,A point 132.6 metres north of College Street and a point 23 metres further north,"7:00 a.m. to 7:30 a.m., 9:30 a.m. to 11:30 a.m., and 1:30 p.m to 3:00 p.m., Mon. to Fri. except public holidays"
Concord Avenue,East,A point 196.6 metres north of College Street and a point 54.8 metres further north,"7:00 a.m. to 7:30 a.m., 9:30 a.m. to 11:30 a.m., and 1:30 p.m to 3:00 p.m., Mon. to Fri. except public holidays"
McCaul Street,West,Baldwin Street and a point 32.5 metres south,Anytime
Wilmington Avenue,East,A point 51.1 metres north of Combe Avenue and a point 43.6 metres further north,"8:00 a.m. to 4:00 p.m., Mon. to Fri."
Avonlea Boulevard,West,A point 59 metres south of Dentonia Park Avenue (south intersection) and a point 6 metres further south,Anytime
Avonlea Boulevard,West,Dentonia Park Avenue (north intersection) and a point 49.4 metres south,Anytime
York Street,East,A point 65 metres north of Wellington Street West and Adelaide Street West,Anytime
York Street,West,A point 30.5 metres south of King Street West and a point 30.5 metres north of King Street West,Anytime
Concord Avenue,West,College Street and Dewson Street,Anytime
Arlington Avenue,West,Durham Avenue and a point 67 metres south,Anytime
King Street East,North,A point 30.5 metres east of Jarvis Street and George Street,Anytime
South Drive,East,A point 80 metres south of Crescent Road and a point 42 metres further south,"9:30 a.m. to 11:30 a.m., 1:30 p.m. to 2:30 p.m., and 6:00 p.m. of one day to 7:30 a.m. of the next following day, Mon. to Fri.; Anytime Sat. and Sun."
Genthorn Avenue,North,A point opposite the west limit of Moncrieff Drive and a point opposite the east limit of Moncrieft Drive,9:00 a.m. to 5:00 p.m.
Albany Avenue,West,Davenport Road and Bridgman Avenue,"First day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive"
Military Trail,South,Highcastle Road and a point 332 metres west of Neilson Road,Anytime
Culford Road,West,Woolton Crescent/Harrow Drive and Ridge Point Crescent/George Anderson Drive,Anytime
Airview Road,South,Brydon Drive and a point 65 metres west,8:00 a.m. to 5:00 p.m. Mon. to Fri.
Ascot Avenue,North,Harvie Avenue and Nairn Avenue,Anytime
Northline Road,South,Cranfield Road and a point 151 metres west,Anytime
Ascot Avenue,North,Earlscourt Avenue and St. Clair Gardens,Anytime
Eugene Street,East,Playfair Avenue and Joyce Parkway (south intersection),8:00 a.m. to 6:00 p.m. Mon. to Fri.
Fawndale Crescent,Both,Huntsmill Boulevard (south intersection) and Huntsmill Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Firebrace Road,Both,Huntsmill Road and Steeles Avenue East,2:00 a.m. to 6:00 a.m.
Milliken Boulevard,Both,Trojan Gate and Passmore Avenue,2:00 a.m. to 6:00 a.m.
Montague Place,Both,Bamburgh Circle (east branch) and the south end of Montague Place,2:00 a.m. to 6:00 a.m.
Willard Avenue,East,A point 134 metres south of Winfield Avenue and a point 15 metres north of St. John's Road,Anytime
Windermere Avenue,West,A point 172.5 metres south of St. John's Road and a point 30.5 metres north,"9:00 a.m. to 2:30 p.m., and 3:30 p.m. of one day to 8:30 a.m. of the next following day, Mon. to Fri."
Birdwood Crescent,Both,Ambercroft Boulevard and the north end of Birdwood Court,2:00 a.m. to 6:00 a.m.
Blairwood Terrace,Both,Beverly Glen Boulevard and Brookshire Boulevard,2:00 a.m. to 6:00 a.m.
Foxwood Grove,Both,Heatherside Drive and the northend of Foxwood Grove,2:00 a.m. to 6:00 a.m.
Frank Rivers Drive,Both,Bamburgh Circle (west branch) and Manilow Street,2:00 a.m. to 6:00 a.m.
Morbank Drive,Both,Entire length,2:00 a.m. to 6:00 a.m.
Morecambe Gate,Both,Victoria Park Avenue and Chester Le Boulevard,2:00 a.m. to 6:00 a.m.
Windermere Avenue,West,A point 172.5 metres south of St. John's Road and a point 30.5 metres north,"9:00 a.m. to 2:30 p.m., and 3:30 p.m. of one day to 8:30 a.m. of the next following day, Mon. to Fri."
Windermere Avenue,West,A point 236 metres south of St. John's Road and a point 33 metres north,"9:00 a.m. to 2:30 p.m., and 3:30 p.m. of one day to 8:30 a.m. of the next following day, Mon. to Fri."
Boundy Crescent,Both,La Peer Boulevard and Staley Terrace,2:00 a.m. to 6:00 a.m.
Bridletowne Circle (east branch),Both,Warden Avenue (south intersection) and Warden Avenue (north intersection),2:00 a.m. to 6:00 a.m.
Fundy Bay Boulevard,Both,Bamburgh Circle and Birchmount Road,2:00 a.m. to 6:00 a.m.
Glen Springs Drive,Both,Warden Avenue and Bridletowne Circle (west branch),2:00 a.m. to 6:00 a.m.
Mossbrook Crescent,Both,Huntsmill Boulevard (south intersection) and Huntsmill Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Mountcastle Gate,Both,Wintermute Boulevard and Steeles Avenue East,2:00 a.m. to 6:00 a.m.
Gulliver Road,North,Keele Street and a point 30.5 metres east of a point opposite the easterly limit of Comay Road,Anytime
Gulliver Road,North,A point 76.3 metres west of a point opposite the westerly limit of Comay Road and Culford Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Bridletowne Circle (west branch),Both,Warden Avenue (south intersection) and Warden Avenue (north intersection),2:00 a.m. to 6:00 a.m.
Brookmill Boulevard,Both,Bridletowne Circle (east branch) and Birchmount Road,2:00 a.m. to 6:00 a.m.
Glencoyne Crescent,Both,Firebrace Road and Crayford Drive,2:00 a.m. to 6:00 a.m.
Glendinning Avenue,Both,Pharmacy Avenue and Huntsmill Boulevard,2:00 a.m. to 6:00 a.m.
Newforest Square,Both,Entire length,2:00 a.m. to 6:00 a.m.
Ockwell Manor,Both,Canongate Trail (south intersection) and Canongate Trail (north intersection),2:00 a.m. to 6:00 a.m.
Caroline Carpenter Grove,East,Locust Lodge Gardens and John Perkins Bull Drive,Anytime
Brookshire Boulevard,Both,Beverly Glen Boulevard and McNicoll Avenue,2:00 a.m. to 6:00 a.m.
Burnt Bark Drive,Both,Sanwood Boulevard and Treerun Avenue,2:00 a.m. to 6:00 a.m.
Gold Medal Road,Both,Sanwood Boulevard and Shepton Way,2:00 a.m. to 6:00 a.m.
Hawshead Crescent,Both,Fundy Bay Boulevar (west intersection) and Fundy Bay Boulevar (east intersection),2:00 a.m. to 6:00 a.m.
Reelroy Court,Both,Huntsmill Boulevard and the east end of Reelroy Court,2:00 a.m. to 6:00 a.m.
Downsview Park Boulevard,South,Keele Street and Stanley Greene Boulevard,Anytime
Frederick Tisdale Drive,East,Downsview Park Boulevard and John Perkins Bull Drive,Anytime
Calora Court,Both,La Peer Boulevard and the west end of Calora Court,2:00 a.m. to 6:00 a.m.
Canongate Trail,Both,Sanwood Boulevard and Purcell Square,2:00 a.m. to 6:00 a.m.
Heatherside Drive,Both,Beverly Glen Boulevard and Huntingdale Boulevard,2:00 a.m. to 6:00 a.m.
Hildenboro Square,Both,Glen Springs Boulevard (south intersection) and Glen Springs Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Springhouse Square,Both,Huntsmill Boulevard (west intersection) and Huntsmill Boulevard (east intersection),2:00 a.m. to 6:00 a.m.
Staley Crescent,Both,Boundy Crescent and Birchmount Road,2:00 a.m. to 6:00 a.m.
George Butchart Drive,North and West,Keele Street and Downsview Park Boulevard,Anytime
Carl Crescent,Both,Huntsmill Boulevard (west intersection) and Huntsmill Boulevard (east intersection),2:00 a.m. to 6:00 a.m.
Chadbury Place,Both,Huntsmill Boulevard and the west end of Chadbury Place,2:00 a.m. to 6:00 a.m.
Holmbush Crescent,Both,Canongate Trail (west intersection) and Canongate Trail (east intersection),2:00 a.m. to 6:00 a.m.
Hood Crescent,Both,Ambercorft Boulevard (south intersection) and Ambercorft Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Pale Moon Crescent,Both,Fundy Bay Boulevard (south intersection) and Fundy Bay Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Parkdene Court,Both,Chester Le Boulevard and the east end of Parkdene Court,2:00 a.m. to 6:00 a.m.
Locust Lodge Gardens,South,Stanley Greene Boulevard and Frederick Tisdale Drive,Anytime
Sarah Jackson Crescent,South,William Duncan Road and Thomas Mulholland Drive,Anytime
Chapel Park Sqaure,Both,Canongate Trail (south intersection) and Canongate Trail (north intersection),2:00 a.m. to 6:00 a.m.
Chapeltown Crescent,Both,Hunstmill Boulevard (south intersection) and Hunstmill Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Huntingdale Boulevard,Both,Pharmacy Avenue and Bridletowne Circle (west branch),2:00 a.m. to 6:00 a.m.
Huntsmill Boulevard,Both,Bamburgh Circle (south intersection) and Bamburgh Circle (north intersection),2:00 a.m. to 6:00 a.m.
Seagrave Crescent,Both,Fundy Bay Boulevard (south intersection) and Fundy Bay Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Sharrowbay Court,Both,Bamburgh Circle and the west end of Sharrowbay Court,2:00 a.m. to 6:00 a.m.
Stanley Greene Boulevard,West,Downsview Park Boulevard and the south end of Stanley Greene Boulevard,Anytime
Thomas Mulholland Drive,North,Stanley Greene Boulevard and William Duncan Road,Anytime
Chester Le Boulevard,Both,Pharmacy Avenue (south intersection) and Pharmacy Avenue (north intersection),2:00 a.m. to 6:00 a.m.
Chiefswood Square,Both,Entire length,2:00 a.m. to 6:00 a.m.
Iangrove Terrace,Both,Chester Le Boulevard (west intersection) and Chester Le Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Inniscross Crescent,Both,Canongate Trail (west intersection) and Canongate Trail (east intersection),2:00 a.m. to 6:00 a.m.
Stonebridge Boulevard,Both,Beverly Glen Boulevard and McNicoll Avenue,2:00 a.m. to 6:00 a.m.
Sunbird Crescent,Both,Canongate Trail (south intersection) and Canongate Trail (north intersection),2:00 a.m. to 6:00 a.m.
Corporate Drive,North,Progress Avenue (west intersection) and a point 61 metres east of Consilium Place,Anytime
Strathgowan Crescent,West,A point 35 metres north of Blythwood Road and a point 15 metres south of Strathgowan Avenue,"8:00 a.m. to 9:00 a.m. and 3:00 p.m. to 4:00 p.m., Mon. to Fri."
Crawfoot Place,Both,Eaglepoint Road and west end of Crawfoot Place,2:00 a.m. to 6:00 a.m.
Crayford Drive,Both,Huntsmill Bouelvard (south intersection) and Huntsmill Bouelvard (north intersection),2:00 a.m. to 6:00 a.m.
Innislawn Road,Both,Fundy Bay Boulevard and McNicoll Avenue,2:00 a.m. to 6:00 a.m.
Ivy Bush Avenue,Both,Morbank Drive and Birchmount Road,2:00 a.m. to 6:00 a.m.
Pettibone Square,Both,Chester Le Boulevard (south intersection) and Chester Le Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Purcell Square,Both,Entire length,2:00 a.m. to 6:00 a.m.
Wilson Heights Boulevard,Both,Reiner Road and Sheppard Avenue West,"7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m., Mon. to Fri."
Mountland Drive,Both,Carew Gate and Mornington Gate,2:00 a.m. to 6:00 a.m.
Darnborough Way,Both,Westwater Drive and Brookmill Boulevard,2:00 a.m. to 6:00 a.m.
Deerbrook Trail,Both,Beverly Glen Boulevard and Heatherside Drive,2:00 a.m. to 6:00 a.m.
Jordanroch Court,Both,Huntsmill Boulevard and the east end of Jordanroch Court,2:00 a.m. to 6:00 a.m.
Kelvingrove Avenue,Both,Canongate Trail and Steeles Avenue East,2:00 a.m. to 6:00 a.m.
Shepton Way,Both,Purcell Square and Sanwood Boulevard,2:00 a.m. to 6:00 a.m.
Silver Springs Boulevard,Both,Birchmount Road and McNicoll Avenue,2:00 a.m. to 6:00 a.m.
Stonehenge Crescent,Both,Mountland Drive (west intersection) and a point 174 metres north,2:00 a.m. to 6:00 a.m.
Village Green Square,South,A point 348 metres east of Kennedy Road and a point 375.5 metres east of Kennedy Road,Anytime
Dusay Place,Both,Entire length,2:00 a.m. to 6:00 a.m.
Eagle Point Road,Both,Huntsmill Boulevard and McNicoll Avenue,2:00 a.m. to 6:00 a.m.
Lambeth Square,Both,Entire length,2:00 a.m. to 6:00 a.m.
River Grove Drive,Both,Wintermute Boulevard (south intersection) and Wintermute Boulevard (north intersection),2:00 a.m. to 6:00 a.m.
Sandy Haven Drive,Both,Fundy Bay Boulevard and Innislawn Road,2:00 a.m. to 6:00 a.m.
Ambercroft Boulevard,Both,Wintermute Boulevard and Fundy Bay Boulevard,2:00 a.m. to 6:00 a.m.
